"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"chemical_shift"	"multiplicity"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"2CKA"	"2NKA"	"2NKB"	"12CKB"	"16SKA"	"20CKA"	"5NKB"	"12CKA"	"16SKB"	"20CKB"	"0NKA"	"0NKB"	"2CKB"	"40CKA"	"40CKB"	"0CKB"	"0CKA"	"5NKA"	"2MKA"	"2MKB"	"20NKB"	"20NKA"	"5SKA"	"5SKB"	"5MKB"	"5MKA"	"12NKB"	"20MKB"	"20MKA"	"12NKA"	"30SKB"	"30SKA"	"8SKB"	"8SKA"	"8NKB"	"8NKA"	"12MKA"	"12MKB"	"16CKA"	"16CKB"	"16NKA"	"30CKA"	"30CKB"	"30NKB"	"0SKB"	"8MKB"	"30MKA"	"2SKB"	"0SKA"	"30MKB"	"25SKA"	"25MKA"	"8MKA"	"25SKB"	"25MKB"	"25NKB"	"25NKA"	"25CKA"	"25CKB"	"2SKA"	"30NKA"	"16MKB"	"16MKA"	"40SKB"	"40SKA"	"0MKA"	"8CKB"	"0MKB"	"16NKB"	"40MKB"	"12SKA"	"8CKA"	"12SKB"	"40MKA"	"20SKB"	"40NKA"	"40NKB"	"20SKA"	"5CKB"	"5CKA"
"CHEBI:17754"	"C3H8O3"	"OCC(O)CO"	"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2"	"glycerol"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"35.1749"	"18.6065"	"16.3488"	"14.4791"	"12.9455"	"13.6979"	"16.3477"	"20.5704"	"12.0149"	"14.9336"	"32.4299"	"33.3313"	"24.4282"	"6.5705"	"6.1005"	"35.1749"	"26.6482"	"15.7796"	"18.1123"	"15.95"	"16.4693"	"17.2784"	"27.7409"	"25.1821"	"23.8723"	"25.9182"	"17.7246"	"16.3032"	"16.642"	"17.6147"	"5.7296"	"5.8529"	"14.3959"	"12.0623"	"17.5814"	"15.7192"	"34.7228"	"27.4872"	"15.8938"	"16.1086"	"14.8168"	"10.1818"	"8.0257"	"11.0763"	"41.4008"	"23.8391"	"8.6851"	"41.4008"	"42.836"	"7.9902"	"8.5536"	"12.0346"	"27.2491"	"7.3921"	"12.8735"	"12.7257"	"12.912"	"8.8486"	"9.3307"	"8.5536"	"14.9202"	"22.1465"	"22.5681"	"5.6721"	"6.9116"	"23.755"	"17.396"	"22.4443"	"15.9956"	"5.5255"	"16.4792"	"18.5681"	"11.1423"	"4.9442"	"10.8378"	"8.6783"	"5.6519"	"10.8378"	"16.7128"	"15.3295"
"CHEBI:15428"	"C2H5NO2"	"NCC(O)=O"	"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)"	"glycine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"30.421"	"20.9299"	"19.4117"	"18.7302"	"12.259"	"10.0598"	"20.6015"	"21.3009"	"12.7063"	"9.775"	"28.6838"	"29.5589"	"25.3786"	"5.4016"	"5.381"	"30.421"	"34.7009"	"19.5052"	"20.2031"	"19.8086"	"13.1849"	"14.2277"	"29.2277"	"25.6865"	"27.7357"	"26.3195"	"23.3029"	"11.5742"	"9.277"	"22.3554"	"6.6294"	"6.7291"	"21.3364"	"20.4767"	"23.0787"	"20.5711"	"27.1573"	"21.6985"	"14.5387"	"15.6787"	"16.2562"	"6.503"	"5.8947"	"7.2464"	"49.2005"	"24.598"	"6.3865"	"49.2005"	"47.2754"	"6.1556"	"7.7444"	"8.1429"	"29.274"	"6.9327"	"9.1358"	"9.3236"	"10.4005"	"6.4577"	"6.4367"	"7.7444"	"8.1088"	"18.1855"	"17.5512"	"5.7284"	"6.1366"	"32.8248"	"21.112"	"31.7815"	"16.6714"	"5.0759"	"18.5851"	"21.4808"	"9.9528"	"5.4087"	"9.8873"	"6.9917"	"6.3117"	"9.8873"	"21.3649"	"19.7204"
"CHEBI:17596"	"C10H12N4O5"	"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(O)ncnc12"	"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1"	"inosine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"0.0515"	"0.0602"	"0.0574"	"0.0414"	"0.0333"	"0.0449"	"0.0725"	"0.0531"	"0.0363"	"0.0374"	"0"	"0.0665"	"0.0681"	"0.0706"	"0.0695"	"0.0515"	"0.1189"	"0.0692"	"0.1078"	"0.098"	"0.034"	"0.0286"	"0.2946"	"0.2766"	"0.1283"	"0.1284"	"0.0983"	"0.0403"	"0.0341"	"0.0604"	"0.0349"	"0.0349"	"0.1645"	"0.1759"	"0.0751"	"0.0575"	"0.1065"	"0.0836"	"0.0323"	"0.0407"	"0.0341"	"0.1027"	"0.0713"	"0.0237"	"0.6192"	"0.1061"	"0.0287"	"0.6192"	"0.5993"	"0.0342"	"0.0326"	"0.0395"	"0.1268"	"0.0291"	"0.0509"	"0.0374"	"0.0281"	"0.057"	"0.0565"	"0.0326"	"0.0817"	"0.064"	"0.0577"	"0.0359"	"0.0642"	"0.1566"	"0.0693"	"0.1276"	"0.0351"	"0.0552"	"0.07"	"0.0578"	"0.0446"	"0.0419"	"0.0307"	"0.0454"	"0.064"	"0.0307"	"0.0726"	"0.0487"
"CHEBI:24898"	"C6H13NO2"	""	""	"isoleucine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"2.011"	"1.221"	"1.1479"	"1.3509"	"2.2772"	"1.6518"	"1.2473"	"1.5803"	"2.3522"	"1.5209"	"1.0614"	"1.8775"	"1.5364"	"1.8057"	"1.7762"	"2.011"	"2.2424"	"1.1376"	"5.5374"	"5.2734"	"1.3808"	"1.5109"	"3.2381"	"2.8487"	"6.0648"	"5.7478"	"1.643"	"4.981"	"4.2571"	"1.5061"	"2.8605"	"2.7296"	"2.3993"	"2.2756"	"1.5637"	"1.4279"	"5.7612"	"4.9073"	"1.4439"	"1.5713"	"1.2507"	"1.8022"	"1.7348"	"1.5734"	"4.9542"	"5.4186"	"4.7676"	"4.9542"	"4.9422"	"4.5595"	"2.5867"	"4.5592"	"6.3788"	"2.4903"	"4.7836"	"1.5121"	"1.5776"	"1.5825"	"1.6617"	"2.5867"	"1.9308"	"5.1314"	"5.007"	"4.3318"	"3.5046"	"8.7253"	"1.3782"	"8.6239"	"1.3281"	"3.9653"	"2.3291"	"1.4347"	"2.4428"	"2.7322"	"2.5131"	"1.9682"	"1.8364"	"2.5131"	"1.2812"	"1.1944"
"CHEBI:78320"	"C3H6O3"	"CC(O)C(O)=O"	"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)"	"lactate"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"3.3579"	"1.4131"	"1.3339"	"6.9192"	"26.5305"	"14.5669"	"1.262"	"8.4115"	"26.2803"	"14.2136"	"2.3669"	"2.1828"	"2.3737"	"4.275"	"3.8688"	"3.3579"	"4.0088"	"1.229"	"5.0252"	"4.6991"	"18.6137"	"19.102"	"5.0637"	"5.0746"	"7.2666"	"7.2225"	"7.1828"	"20.4135"	"26.0201"	"5.2506"	"8.4106"	"12.3396"	"3.0197"	"2.5451"	"1.4318"	"1.3915"	"20.5817"	"17.9428"	"14.3544"	"16.1596"	"12.2473"	"9.1039"	"6.667"	"7.8588"	"7.5694"	"9.1914"	"12.2558"	"7.5694"	"7.7254"	"14.2712"	"18.3482"	"14.6003"	"10.535"	"17.9369"	"16.3074"	"19.2709"	"16.2523"	"10.4241"	"10.2128"	"18.3482"	"8.8935"	"26.1911"	"23.5591"	"8.5126"	"5.9505"	"8.3126"	"2.3892"	"7.6175"	"13.4031"	"8.1146"	"10.5946"	"2.5051"	"26.8626"	"7.6479"	"20.0467"	"6.7285"	"6.0245"	"20.0467"	"1.9019"	"1.543"
"CHEBI:25017"	"C6H13NO2"	"CC(C)CC(N)C(O)=O"	"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)"	"leucine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"1.6677"	"1.1076"	"1.1051"	"1.3569"	"2.6901"	"1.7013"	"1.101"	"1.5158"	"2.7429"	"1.5626"	"1.3547"	"1.5641"	"1.3214"	"2.0292"	"1.9681"	"1.6677"	"1.8953"	"1.0019"	"5.0947"	"5.0525"	"1.4115"	"1.5507"	"3.4853"	"3.0272"	"5.1157"	"4.8839"	"1.4896"	"4.9337"	"4.4685"	"1.4446"	"3.3928"	"3.2341"	"2.8085"	"2.559"	"1.4238"	"1.3237"	"5.1499"	"4.3018"	"1.453"	"1.5261"	"1.3176"	"1.9511"	"1.9109"	"1.7575"	"5.3328"	"4.8197"	"4.8626"	"5.3328"	"5.2357"	"4.914"	"3.0845"	"4.4836"	"5.4943"	"2.9937"	"4.6803"	"1.5886"	"1.6708"	"1.6945"	"1.7426"	"3.0845"	"2.0552"	"4.8431"	"4.64"	"4.5339"	"4.2552"	"7.7756"	"1.2649"	"8.3241"	"1.3361"	"4.2569"	"2.7053"	"1.3398"	"2.8828"	"3.3783"	"2.8045"	"2.1444"	"2.0345"	"2.8045"	"1.118"	"1.1564"
"CHEBI:18019"	"C6H14N2O2"	"NCCCC[C@H](N)C(O)=O"	"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1"	"L-lysine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"5.0942"	"2.9838"	"3.0295"	"3.5159"	"3.5747"	"0"	"2.9699"	"4.575"	"3.5961"	"3.9382"	"3.9263"	"4.4811"	"3.3009"	"4.1149"	"3.7883"	"5.0942"	"0"	"2.0463"	"7.2231"	"6.288"	"4.0706"	"4.1757"	"4.9451"	"4.3185"	"8.1253"	"8.1436"	"0.412"	"5.605"	"5.6562"	"4.3179"	"4.1366"	"3.5045"	"3.1989"	"3.1516"	"2.7932"	"3.8395"	"9.8334"	"7.5394"	"3.7888"	"0"	"3.6343"	"4.6136"	"4.6704"	"3.8709"	"7.4258"	"7.7522"	"6.24"	"7.4258"	"7.986"	"5.8492"	"4.8311"	"6.1375"	"8.8772"	"4.0121"	"6.0867"	"3.6409"	"3.7033"	"0"	"0.592"	"4.8311"	"4.2409"	"6.5536"	"6.863"	"6.2103"	"4.9564"	"10.6888"	"3.2113"	"10.5142"	"3.8233"	"6.1045"	"3.9659"	"3.9561"	"2.3088"	"3.6323"	"3.8775"	"4.6957"	"1.8196"	"3.8775"	"1.7526"	"3.3292"
"CHEBI:29864"	"C6H14O6"	""	""	"mannitol"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"48.683"	"29.4219"	"24.9123"	"23.0462"	"45.0535"	"54.692"	"25.551"	"27.8303"	"46.431"	"54.1954"	"45.7308"	"47.5148"	"38.2442"	"86.3947"	"86.558"	"48.683"	"56.707"	"24.572"	"28.4419"	"25.9021"	"37.1264"	"39.8847"	"42.0745"	"36.7791"	"41.4881"	"38.5524"	"33.5209"	"66.0021"	"60.1417"	"25.6765"	"88.6854"	"81.2499"	"27.3663"	"22.28"	"27.7831"	"22.6582"	"42.4489"	"34.4566"	"36.4472"	"40.0819"	"24.5698"	"79.735"	"82.3103"	"66.8404"	"62.9724"	"35.5218"	"87.124"	"62.9724"	"62.4085"	"87.6588"	"76.0137"	"72.5346"	"41.9239"	"75.6158"	"76.4289"	"56.8149"	"61.0022"	"65.6097"	"68.6026"	"76.0137"	"74.122"	"43.2645"	"41.0255"	"88.8516"	"112.3606"	"43.5472"	"28.2085"	"40.6407"	"24.846"	"85.0825"	"28.646"	"25.5505"	"59.1623"	"81.2127"	"63.0811"	"83.45"	"75.9578"	"63.0811"	"28.4077"	"22.082"
"CHEBI:16811"	"C5H11NO2S"	"CSCCC(N)C(O)=O"	"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)"	"methionine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"1.6773"	"1.1307"	"0.9641"	"0.5248"	"0.6688"	"0.0563"	"1.4221"	"0.9777"	"0.6848"	"0.5769"	"1.342"	"1.5442"	"1.4376"	"0.5987"	"0.5184"	"1.6773"	"1.7232"	"1.3576"	"1.9606"	"1.9022"	"0.5319"	"0.5167"	"1.3708"	"1.2398"	"1.7515"	"1.9244"	"0.4642"	"1.2367"	"1.2295"	"0.7745"	"0.8012"	"0.7088"	"0.7366"	"0.7383"	"1.5856"	"1.4154"	"2.3118"	"1.5732"	"0.4359"	"0.1966"	"0.4029"	"0.6591"	"0.6414"	"0.5259"	"2.4511"	"1.7536"	"1.4748"	"2.4511"	"2.5924"	"1.393"	"1.1473"	"1.256"	"2.0077"	"0.9827"	"1.1895"	"0.5089"	"0.5146"	"0.047"	"0.2047"	"1.1473"	"0.9297"	"1.4152"	"1.4946"	"1.156"	"1.0551"	"4.2103"	"1.2392"	"4.2231"	"0.4925"	"1.0363"	"0.7578"	"1.4731"	"0.4021"	"0.7523"	"0.7582"	"0.7059"	"0.2866"	"0.7582"	"1.3911"	"1.0704"
"CHEBI:28044"	"C9H11NO2"	"NC(Cc1ccccc1)C(O)=O"	"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)"	"phenylalanine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"0.8978"	"0.5977"	"0.5547"	"0.655"	"1.1317"	"0.7802"	"0.6145"	"0.69"	"1.1499"	"0.5829"	"0.9087"	"0.8868"	"0.663"	"0.8938"	"0.8919"	"0.8978"	"1.4492"	"0.5453"	"2.0069"	"1.9961"	"0.5755"	"0.6849"	"1.4861"	"1.2732"	"2.1477"	"1.9025"	"0.6134"	"1.665"	"1.7439"	"0.6977"	"1.4733"	"1.3694"	"1.1717"	"1.1313"	"0.7777"	"0.6791"	"1.8696"	"1.5573"	"0.6589"	"0.6667"	"0.6053"	"0.8246"	"0.6469"	"0.7857"	"2.2716"	"1.8673"	"1.9899"	"2.2716"	"2.152"	"1.9966"	"0.9666"	"1.7391"	"2.189"	"1.0787"	"1.7837"	"0.6914"	"0.7462"	"0.5592"	"0.6147"	"0.9666"	"0.7891"	"1.8899"	"1.7848"	"1.6411"	"2.0268"	"2.9623"	"0.6491"	"3.1335"	"0.5796"	"1.3509"	"1.1299"	"0.6583"	"1.0816"	"1.3863"	"1.208"	"0.8716"	"0.6993"	"1.208"	"0.585"	"0.564"
"CHEBI:26271"	"C5H9NO2"	"OC(=O)C1CCCN1"	"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)"	"proline"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"12.8939"	"6.4184"	"6.5329"	"5.267"	"5.7977"	"1.5314"	"5.6429"	"6.2845"	"5.9104"	"6.41"	"10.452"	"11.1153"	"8.6496"	"7.6185"	"6.4813"	"12.8939"	"6.8765"	"5.0992"	"8.4227"	"8.1376"	"5.4002"	"6.045"	"9.8826"	"8.8551"	"10.6397"	"10.593"	"0.5656"	"8.4204"	"8.212"	"6.4594"	"5.6819"	"5.1004"	"4.8241"	"5.3243"	"6.4266"	"6.1192"	"11.552"	"9.8424"	"5.7078"	"1.8375"	"5.2233"	"9.8556"	"8.627"	"8.5268"	"19.8145"	"11.4259"	"10.2794"	"19.8145"	"20.2406"	"8.7324"	"9.2138"	"9.1779"	"13.2313"	"8.9361"	"7.7459"	"5.6502"	"7.0427"	"1.5963"	"1.6356"	"9.2138"	"9.6637"	"8.9892"	"8.5583"	"5.4846"	"5.8257"	"13.4166"	"5.9879"	"13.6071"	"5.2624"	"4.4756"	"6.1298"	"6.5791"	"5.5208"	"4.4228"	"5.9498"	"9.5647"	"2.3286"	"5.9498"	"4.9895"	"6.4013"
"CHEBI:17822"	"C3H7NO3"	"NC(CO)C(O)=O"	"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)"	"serine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"48.8861"	"26.0567"	"20.7675"	"17.5623"	"15.851"	"25.3692"	"25.5203"	"21.466"	"14.3734"	"13.5739"	"43.1603"	"48.9135"	"36.7779"	"8.0969"	"8.5774"	"48.8861"	"70.7919"	"24.5152"	"27.1389"	"23.1035"	"11.8918"	"13.6631"	"43.021"	"41.0255"	"41.1579"	"36.9489"	"35.3882"	"20.1425"	"16.3883"	"20.6629"	"14.659"	"16.1807"	"24.4133"	"20.2141"	"27.7128"	"20.9344"	"29.5712"	"27.6543"	"14.223"	"24.2763"	"13.8103"	"12.2954"	"9.4509"	"11.2897"	"61.8864"	"32.6132"	"11.5112"	"61.8864"	"62.3841"	"13.562"	"8.9779"	"17.0883"	"40.0399"	"9.8922"	"20.9286"	"11.0965"	"11.8196"	"22.4489"	"21.6753"	"8.9779"	"9.1114"	"24.7357"	"21.6042"	"12.9086"	"14.2531"	"41.139"	"25.7993"	"37.3112"	"13.7569"	"11.8233"	"21.2577"	"22.29"	"15.6138"	"13.9531"	"11.5642"	"9.8733"	"16.9116"	"11.5642"	"28.047"	"18.383"
"CHEBI:17992"	"C12H22O11"	"OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O"	"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1"	"sucrose"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"13.7503"	"5.8096"	"5.1599"	"1.8586"	"1.561"	"2.0251"	"4.0765"	"1.9844"	"1.5339"	"0.8699"	"11.6945"	"11.1995"	"7.5714"	"0.6053"	"0.6723"	"13.7503"	"21.1749"	"3.6918"	"6.0793"	"6.1621"	"1.0222"	"1.2023"	"6.8574"	"6.1068"	"6.5634"	"5.5009"	"3.8009"	"1.5412"	"1.1994"	"2.2144"	"1.1791"	"1.2196"	"3.4926"	"3.1411"	"3.5182"	"2.6864"	"2.5649"	"2.2338"	"1.3194"	"2.2017"	"1.5329"	"0.8107"	"0.6888"	"0.8146"	"16.8473"	"4.4006"	"0.8788"	"16.8473"	"15.9247"	"1.1324"	"0.5866"	"1.1205"	"5.3708"	"0.6738"	"1.5085"	"0.7898"	"0.8719"	"1.7104"	"1.648"	"0.5866"	"0.8225"	"2.1877"	"1.702"	"1.0903"	"1.892"	"12.8329"	"3.3794"	"12.8254"	"1.4473"	"1.1074"	"2.6373"	"2.9427"	"1.3135"	"1.0571"	"1.0168"	"0.6669"	"1.48"	"1.0168"	"4.2948"	"3.3156"
"CHEBI:26986"	"C4H9NO3"	"CC(O)C(N)C(O)=O"	"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)"	"threonine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"3.8285"	"1.623"	"1.5513"	"8.1197"	"14.7921"	"12.1657"	"1.4392"	"9.6451"	"13.9037"	"8.4253"	"2.4494"	"2.488"	"2.7088"	"4.9246"	"3.7354"	"3.8285"	"4.5657"	"1.3968"	"5.7708"	"5.4311"	"9.0183"	"11.6269"	"5.7017"	"5.6824"	"8.1721"	"8.107"	"8.1339"	"15.4138"	"10.8922"	"6.054"	"5.5457"	"6.9008"	"3.4998"	"2.9605"	"1.6372"	"1.6029"	"17.1031"	"17.5573"	"11.4061"	"18.3486"	"12.3868"	"8.0279"	"5.6386"	"7.1109"	"8.4726"	"10.3392"	"7.0333"	"8.4726"	"8.6102"	"7.3709"	"6.8555"	"10.678"	"11.8319"	"7.2638"	"10.9533"	"7.5543"	"9.7873"	"6.6298"	"6.4819"	"6.8555"	"6.6996"	"20.192"	"16.7444"	"4.819"	"6.682"	"9.5504"	"2.7468"	"8.8599"	"11.1332"	"3.9661"	"12.3092"	"2.8877"	"11.2543"	"5.6088"	"8.9788"	"7.4003"	"6.5067"	"8.9788"	"2.1703"	"1.8034"
