"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"chemical_shift"	"multiplicity"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"2CKA"	"2NKA"	"2NKB"	"12CKB"	"16SKA"	"20CKA"	"5NKB"	"12CKA"	"16SKB"	"20CKB"	"0NKA"	"0NKB"	"2CKB"	"40CKA"	"40CKB"	"0CKB"	"0CKA"	"5NKA"	"2MKA"	"2MKB"	"20NKB"	"20NKA"	"5SKA"	"5SKB"	"5MKB"	"5MKA"	"12NKB"	"20MKB"	"20MKA"	"12NKA"	"30SKB"	"30SKA"	"8SKB"	"8SKA"	"8NKB"	"8NKA"	"12MKA"	"12MKB"	"16CKA"	"16CKB"	"16NKA"	"30CKA"	"30CKB"	"30NKB"	"0SKB"	"8MKB"	"30MKA"	"2SKB"	"0SKA"	"30MKB"	"25SKA"	"25MKA"	"8MKA"	"25SKB"	"25MKB"	"25NKB"	"25NKA"	"25CKA"	"25CKB"	"2SKA"	"30NKA"	"16MKB"	"16MKA"	"40SKB"	"40SKA"	"0MKA"	"8CKB"	"0MKB"	"16NKB"	"40MKB"	"12SKA"	"8CKA"	"12SKB"	"40MKA"	"20SKB"	"40NKA"	"40NKB"	"20SKA"	"5CKB"	"5CKA"
"CHEBI:18139"	"C3H9N"	"CN(C)C"	"InChI=1S/C3H9N/c1-4(2)3/h1-3H3"	"trimethylamine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"0.9019"	"0.739"	"0.7035"	"0.6643"	"0.6479"	"0.6577"	"0.7129"	"0.7971"	"0.6312"	"0.739"	"0.3802"	"0.8867"	"0.7493"	"0.6381"	"0.6144"	"0.9019"	"0.5927"	"0.6991"	"1.3725"	"1.3345"	"0.702"	"0.6706"	"1.0246"	"0.9832"	"1.3549"	"1.3912"	"0.7517"	"0.7908"	"0.7424"	"0.7449"	"0.5917"	"0.6447"	"0.6784"	"0.6523"	"0.6996"	"0.7198"	"1.3769"	"1.1678"	"0.6557"	"0.6739"	"0.6394"	"0.7617"	"0.6426"	"0.626"	"1.4918"	"1.2503"	"0.7233"	"1.4918"	"1.524"	"0.7134"	"0.792"	"0.8395"	"1.3547"	"0.6971"	"0.8509"	"0.6828"	"0.6403"	"0.6606"	"0.6634"	"0.792"	"0.76"	"1.0527"	"0.9779"	"0.6495"	"0.5741"	"2.241"	"0.6804"	"2.287"	"0.6872"	"0.6446"	"0.6884"	"0.742"	"0.6435"	"0.6111"	"0.5978"	"0.6673"	"0.5873"	"0.5978"	"0.6501"	"0.6756"
"CHEBI:15724"	"C3H9NO"	"C[N+](C)([O-])C"	"InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3"	"trimethylamine N-oxide"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"2.7484"	"1.9625"	"1.7722"	"2.0385"	"1.6964"	"1.8256"	"2.2091"	"2.558"	"1.6741"	"1.7202"	"2.8807"	"2.6978"	"2.5167"	"1.4811"	"1.4555"	"2.7484"	"2.9382"	"2.1457"	"1.9213"	"1.8229"	"1.8599"	"1.9952"	"3.2248"	"2.8225"	"2.9284"	"2.835"	"2.772"	"1.9281"	"1.6832"	"2.5123"	"1.5223"	"1.5085"	"2.3115"	"2.1019"	"2.5802"	"2.2059"	"3.3949"	"2.6855"	"1.9861"	"2.1859"	"1.8445"	"1.7976"	"1.5473"	"1.5857"	"4.4945"	"2.8442"	"1.5167"	"4.4945"	"4.3595"	"1.5574"	"1.5953"	"1.7036"	"3.2996"	"1.4062"	"1.8618"	"1.7095"	"1.8332"	"1.6917"	"1.6828"	"1.5953"	"1.9468"	"2.4666"	"2.3202"	"1.6668"	"1.9969"	"2.5748"	"2.3491"	"2.344"	"1.9357"	"1.5535"	"2.2293"	"2.4757"	"1.5041"	"1.5224"	"1.4779"	"1.7149"	"1.6606"	"1.4779"	"2.228"	"2.0066"
"CHEBI:27897"	"C11H12N2O2"	"NC(Cc1c[nH]c2ccccc12)C(O)=O"	"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)"	"tryptophan"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"0.2748"	"0.1298"	"0.1405"	"0.1927"	"0.2732"	"0.2433"	"0.195"	"0.2032"	"0.2746"	"0.2223"	"0.211"	"0.2786"	"0.1712"	"0.2702"	"0.2694"	"0.2748"	"0.9855"	"0.1514"	"0.2035"	"0.1683"	"0.1694"	"0.1959"	"0.3594"	"0.3031"	"0.326"	"0.2159"	"0.1904"	"0.2759"	"0.239"	"0.1902"	"0.2826"	"0.2705"	"0.2636"	"0.2527"	"0.2365"	"0.1868"	"0.3001"	"0.2263"	"0.1923"	"0.1982"	"0.1622"	"0.3331"	"0.2329"	"0.2346"	"0.6019"	"0.2403"	"0.2981"	"0.6019"	"0.5255"	"0.3215"	"0.2512"	"0.2608"	"0.3176"	"0.2476"	"0.2811"	"0.1844"	"0.2285"	"0.229"	"0.236"	"0.2512"	"0.4051"	"0.2329"	"0.2317"	"0.3112"	"0.7885"	"0.4828"	"0.1586"	"0.4216"	"0.1702"	"0.3515"	"0.2987"	"0.1914"	"0.2216"	"0.2579"	"0.2281"	"0.2637"	"0.2497"	"0.2281"	"0.1461"	"0.1305"
"CHEBI:18186"	"C9H11NO3"	"NC(Cc1ccc(O)cc1)C(O)=O"	"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)"	"tyrosine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"0.9134"	"0.5474"	"0.4901"	"0.5384"	"0.9647"	"0.587"	"0.5765"	"0.5743"	"0.9906"	"0.641"	"0.9266"	"0.8795"	"0.621"	"0.7378"	"0.7599"	"0.9134"	"1.3682"	"0.4784"	"0.8516"	"0.7873"	"0.5254"	"0.5705"	"1.3564"	"1.1629"	"1.0533"	"1.0186"	"0.4668"	"0.9139"	"0.9317"	"0.5778"	"1.1703"	"1.0867"	"0.9727"	"0.9567"	"0.7038"	"0.5893"	"1.3962"	"0.9189"	"0.5614"	"0.5153"	"0.497"	"0.8225"	"0.6709"	"0.667"	"1.9817"	"1.0337"	"1.1907"	"1.9817"	"1.871"	"1.1614"	"1.1542"	"1.0637"	"1.1928"	"1.0682"	"1.0164"	"0.5973"	"0.6399"	"0.5516"	"0.5912"	"1.1542"	"0.8981"	"1.0283"	"1.0311"	"1.0655"	"1.8586"	"1.1243"	"0.5452"	"1.1147"	"0.4873"	"1.039"	"1.0051"	"0.5699"	"0.8514"	"1.0787"	"0.9805"	"0.8078"	"0.6469"	"0.9805"	"0.5159"	"0.4854"
"CHEBI:27266"	"C5H11NO2"	"CC(C)C(N)C(O)=O"	"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)"	"valine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"1.7757"	"1.1559"	"1.1576"	"1.3097"	"2.2196"	"1.5781"	"1.1401"	"1.4935"	"2.2977"	"1.4805"	"1.2431"	"1.604"	"1.338"	"1.8014"	"1.8085"	"1.7757"	"2.0215"	"1.0507"	"5.0299"	"5.0844"	"1.3505"	"1.4688"	"2.7535"	"2.4105"	"4.9308"	"4.6683"	"1.4241"	"4.7539"	"4.2635"	"1.4206"	"2.8275"	"2.697"	"2.2566"	"2.1845"	"1.4615"	"1.3419"	"4.7967"	"4.0792"	"1.4278"	"1.4969"	"1.2594"	"1.7624"	"1.7394"	"1.6457"	"4.189"	"4.5416"	"4.8007"	"4.189"	"4.1207"	"4.7912"	"2.5209"	"4.3341"	"5.1647"	"2.4421"	"4.4845"	"1.4759"	"1.5756"	"1.4475"	"1.6035"	"2.5209"	"1.9239"	"4.6611"	"4.5131"	"4.5652"	"3.5055"	"8.5496"	"1.2561"	"8.9329"	"1.2922"	"3.6733"	"2.236"	"1.3267"	"2.3892"	"2.7216"	"2.4744"	"1.9602"	"1.7265"	"2.4744"	"1.1371"	"1.1846"
"CHEBI:16865"	"C4H9NO2"	"NCCCC(O)=O"	"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)"	"gamma-aminobutyrate"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"1.4136"	"0.9469"	"0.8395"	"2.5644"	"2.8688"	"0.7161"	"1.784"	"3.0938"	"2.8161"	"0.5752"	"1.5154"	"1.1496"	"1.1347"	"0.5157"	"0.4585"	"1.4136"	"1.8832"	"1.7006"	"2.6357"	"2.7366"	"1.677"	"2.8577"	"3.4689"	"3.8944"	"4.4005"	"4.4616"	"3.0634"	"1.231"	"1.3222"	"2.2727"	"0.6769"	"0.693"	"2.7983"	"2.8741"	"2.5897"	"2.6963"	"4.8009"	"5.8411"	"1.8183"	"1.9028"	"2.7278"	"0.5608"	"0.6585"	"0.7235"	"4.3761"	"5.8892"	"1.0437"	"4.3761"	"4.325"	"1.0636"	"0.809"	"1.1788"	"5.147"	"0.8554"	"1.0692"	"0.5759"	"0.6553"	"1.1788"	"1.0692"	"0.809"	"0.58"	"4.637"	"4.857"	"0.7611"	"0.8591"	"2.7503"	"2.32"	"2.678"	"2.5664"	"0.6147"	"3.2433"	"2.6151"	"0.9101"	"0.7577"	"2.4401"	"0.4277"	"0.6492"	"2.4401"	"1.0699"	"0.8766"
"CHEBI:22599"	"C5H10O5"	""	""	"arabinose"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"20.3941"	"2.2283"	"3.6439"	"2.155"	"2.5223"	"1.0356"	"3.4377"	"1.8631"	"2.5242"	"5.318"	"6.1593"	"9.5965"	"4.5762"	"0.8139"	"1.176"	"20.3941"	"6.1217"	"4.0449"	"2.7644"	"2.9267"	"1.4122"	"0.9317"	"7.092"	"8.0124"	"4.6179"	"7.6705"	"2.322"	"2.2754"	"3.4221"	"7.7708"	"2.9215"	"2.5654"	"3.4382"	"4.477"	"2.7481"	"4.6171"	"2.2826"	"1.3497"	"5.0498"	"1.7293"	"1.3592"	"0.7199"	"1.0751"	"1.2138"	"11.2834"	"6.3386"	"2.4136"	"11.2834"	"11.9947"	"1.5796"	"0.8603"	"4.0887"	"4.5407"	"0.4853"	"2.5546"	"1.3371"	"1.0502"	"4.0887"	"2.5546"	"0.8603"	"1.1462"	"2.3408"	"3.8489"	"2.568"	"2.6841"	"6.9587"	"3.8927"	"5.2167"	"1.7282"	"2.5898"	"3.517"	"2.3821"	"1.6329"	"2.3864"	"2.9585"	"3.8602"	"0.6389"	"2.9585"	"1.7049"	"4.4565"
"CHEBI:18127"	"C5H14N2"	"NCCCCCN"	"InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2"	"cadaverine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"0"	"1.6001"	"1.5341"	"1.7227"	"1.8166"	"2.0106"	"1.1934"	"2.2989"	"1.8048"	"0"	"2.1574"	"1.4156"	"1.7154"	"2.3383"	"2.0597"	"0"	"2.472"	"1.4972"	"3.1349"	"3.8693"	"2.0392"	"1.8035"	"2.149"	"2.4924"	"4.1467"	"4.1392"	"2.0625"	"2.9616"	"2.8307"	"0"	"1.8301"	"2.2194"	"1.5624"	"1.5666"	"1.9607"	"1.7889"	"3.8951"	"5.1036"	"0"	"1.8458"	"1.7647"	"2.3773"	"2.4021"	"2.6988"	"3.4168"	"4.5209"	"3.2968"	"3.4168"	"3.2886"	"3.5328"	"2.2548"	"3.1728"	"3.9236"	"2.6054"	"3.3019"	"1.8439"	"1.7624"	"3.1728"	"3.3019"	"2.2548"	"2.1107"	"3.4078"	"3.2539"	"2.5633"	"3.1381"	"5.3662"	"1.6317"	"5.3495"	"1.6841"	"2.036"	"2.1511"	"2.0748"	"1.9604"	"3.0988"	"1.1589"	"1.196"	"2.2918"	"1.1589"	"1.7609"	"0.8103"
"CHEBI:35804"	"C6H7O7-"	""	""	"citrate(1-)"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"3.0122"	"1.1781"	"1.2357"	"0.9132"	"0.5446"	"0.6492"	"1.0528"	"1.5308"	"0.5678"	"0.275"	"3.3019"	"2.6078"	"1.735"	"0.3948"	"0.2653"	"3.0122"	"3.4073"	"1.2794"	"1.825"	"2.1257"	"0.6079"	"0.5843"	"4.3766"	"4.5034"	"4.053"	"3.8696"	"1.5476"	"0.5664"	"0.5343"	"1.3772"	"0.0801"	"0.0481"	"1.8065"	"1.9881"	"1.3769"	"1.3806"	"2.5146"	"3.4473"	"0.3232"	"0.5746"	"0.8794"	"0.466"	"0.5453"	"0.8603"	"7.3106"	"4.6917"	"0.6418"	"7.3106"	"6.9258"	"0.6314"	"0.6835"	"0.5241"	"4.0626"	"0.6142"	"0.6302"	"0.5007"	"0.5456"	"0.5241"	"0.6302"	"0.6835"	"0.5313"	"1.168"	"1.1446"	"0.1573"	"0.0591"	"1.946"	"1.2124"	"1.8501"	"0.7436"	"0.0413"	"1.6209"	"1.5175"	"0.4311"	"0.0679"	"0.3948"	"0.0665"	"0.5102"	"0.3948"	"1.2286"	"1.0688"
"CHEBI:37154"	"C4H3O4-"	"OC(=O)C=CC([O-])=O"	"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-1/b2-1+"	"fumarate(1-)"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"0.5822"	"0.1153"	"0.1253"	"0.1509"	"0.2612"	"0.0944"	"0.1279"	"0.1671"	"0.2592"	"0.0443"	"0.075"	"0.2687"	"0.1453"	"0.0255"	"0.0242"	"0.5822"	"0.0955"	"0.17"	"0.1238"	"0.1288"	"0.1584"	"0.1551"	"0.2865"	"0.3409"	"0.1701"	"0.2844"	"0.1694"	"0.1946"	"0.2265"	"0.1759"	"0.0281"	"0.0208"	"0.2616"	"0.2639"	"0.1586"	"0.2031"	"0.1913"	"0.2842"	"0.1759"	"0.1525"	"0.1515"	"0.0247"	"0.0438"	"0.0521"	"0.3755"	"0.3488"	"0.0372"	"0.3755"	"0.4483"	"0.0258"	"0.0406"	"0.0419"	"0.2734"	"0.0478"	"0.0358"	"0.0356"	"0.1632"	"0.0419"	"0.0358"	"0.0406"	"0.0289"	"0.26"	"0.2742"	"0.0615"	"0.0293"	"0.2133"	"0.156"	"0.1761"	"0.1392"	"0.0227"	"0.2639"	"0.1542"	"0.2321"	"0.0297"	"0.2535"	"0.0278"	"0.0339"	"0.2535"	"0.1077"	"0.1196"
"CHEBI:6650"	"C4H6O5"	"OC(CC(O)=O)C(O)=O"	"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)"	"malate"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"10.7779"	"3.7967"	"3.7996"	"1.6135"	"0.5665"	"1.3226"	"1.8047"	"2.9302"	"0.6002"	"0.2465"	"12.7147"	"9.6923"	"5.2581"	"1.087"	"0.7192"	"10.7779"	"13.9781"	"2.4353"	"3.8283"	"4.8439"	"1.1474"	"1.2885"	"8.1524"	"7.744"	"9.236"	"8.1085"	"2.6847"	"0.7787"	"0.2642"	"1.0272"	"0.2178"	"0.1663"	"4.457"	"5.0158"	"2.8805"	"2.3953"	"5.2123"	"6.6608"	"0.2765"	"0.8964"	"1.6505"	"1.2481"	"1.571"	"1.9515"	"9.6143"	"11.2959"	"0.638"	"9.6143"	"8.5063"	"0.902"	"1.3082"	"0.3302"	"9.6285"	"1.8704"	"0.6809"	"0.9278"	"1.0695"	"0.3302"	"0.6809"	"1.3082"	"0.9235"	"2.1843"	"1.8971"	"0.4481"	"0.2237"	"5.4649"	"2.1469"	"5.5211"	"1.154"	"0.1879"	"2.4317"	"3.2059"	"0.5316"	"0.1804"	"0.3394"	"0.1923"	"1.4263"	"0.3394"	"2.9903"	"1.5851"
"CHEBI:59640"	"C8H15NO6"	""	""	"N-acetylglucosamine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"2.3668"	"0.988"	"1.0695"	"0.7699"	"0.8863"	"0.8436"	"0.8619"	"1.023"	"0.8921"	"0.9494"	"1.8456"	"1.5909"	"1.4707"	"0.8103"	"0.7342"	"2.3668"	"2.1865"	"0.9163"	"1.446"	"1.5401"	"0.7803"	"0.7703"	"2.1821"	"2.5862"	"2.2259"	"2.1241"	"1.0156"	"1.0813"	"1.1897"	"1.3784"	"0.9866"	"0.9905"	"1.0507"	"1.1999"	"0.926"	"1.0037"	"1.8716"	"2.1977"	"0.8786"	"0.7503"	"0.7808"	"0.7421"	"0.8459"	"0.8229"	"2.7955"	"2.5542"	"1.1479"	"2.7955"	"3.1582"	"1.1085"	"0.9095"	"1.316"	"1.8945"	"0.9256"	"1.1479"	"0.7915"	"0.7552"	"1.316"	"1.1479"	"0.9095"	"0.8196"	"1.5004"	"1.6027"	"1.5058"	"0.9232"	"2.512"	"0.9608"	"2.3898"	"0.7195"	"0.8997"	"1.1163"	"1.0339"	"0.7464"	"0.8622"	"0.8995"	"0.8833"	"0.8698"	"0.8995"	"0.9209"	"1.0319"
"CHEBI:17148"	"C4H12N2"	"NCCCCN"	"InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2"	"putrescine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"1.3825"	"1.4667"	"1.3722"	"0.9552"	"1.0959"	"1.4193"	"0.6188"	"1.6641"	"1.15"	"1.1735"	"3.1193"	"1.3529"	"1.6905"	"2.1062"	"1.6115"	"1.3825"	"3.3545"	"0.9935"	"2.774"	"2.9852"	"1.3909"	"1.3872"	"1.8147"	"2.054"	"3.9234"	"3.8058"	"1.4366"	"2.7437"	"2.1547"	"0.8201"	"1.7345"	"1.9739"	"0.7913"	"0.9263"	"1.2358"	"0.9625"	"3.2829"	"4.4212"	"0.7168"	"1.0277"	"1.0038"	"2.3458"	"2.444"	"3.33"	"3.9766"	"3.9787"	"3.705"	"3.9766"	"3.627"	"3.5274"	"2.3522"	"3.24"	"3.377"	"2.5444"	"3.3548"	"1.6579"	"1.2871"	"3.24"	"3.3548"	"2.3522"	"2.0186"	"2.8432"	"2.637"	"2.6404"	"2.7662"	"4.5859"	"1.0793"	"5.1154"	"0.9052"	"1.7081"	"1.1923"	"1.5894"	"1.604"	"2.754"	"0.8177"	"0.864"	"2.4235"	"0.8177"	"1.499"	"0.6703"
"CHEBI:16988"	"C5H10O5"	""	""	"D-ribose"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"25.1667"	"3.3308"	"5.7753"	"4.1403"	"4.4373"	"1.5688"	"5.5266"	"3.4359"	"5.0004"	"10.6741"	"11.422"	"19.6783"	"6.6341"	"1.7459"	"2.7819"	"25.1667"	"10.0255"	"7.0685"	"4.2411"	"4.5348"	"2.0173"	"1.2001"	"12.8355"	"14.5576"	"6.6261"	"13.4578"	"4.669"	"6.1623"	"7.2474"	"13.9911"	"5.8083"	"5.6562"	"9.4156"	"10.362"	"5.528"	"8.984"	"4.0348"	"2.9197"	"9.859"	"3.23"	"1.708"	"1.5991"	"7.3702"	"14.0302"	"19.4942"	"12.0861"	"6.1126"	"19.4942"	"19.6326"	"3.5301"	"1.3822"	"8.5983"	"7.9851"	"0.9651"	"4.2897"	"2.0683"	"1.5682"	"8.5983"	"4.2897"	"1.3822"	"1.8761"	"4.6541"	"7.2464"	"25.344"	"9.5863"	"18.2182"	"7.5092"	"9.5198"	"2.991"	"5.7338"	"7.1969"	"4.6494"	"3.011"	"13.5288"	"5.4186"	"8.4878"	"1.2752"	"5.4186"	"2.9438"	"7.8723"
"CHEBI:15741"	"C4H6O4"	"OC(=O)CCC(O)=O"	"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)"	"succinate"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"1.2082"	"0.5006"	"0.551"	"0.338"	"0.3576"	"0.4683"	"0.4017"	"0.4938"	"0.3637"	"0.4689"	"1.1506"	"1.0423"	"0.711"	"0.4809"	"0.4631"	"1.2082"	"1.1777"	"0.4548"	"0.6413"	"0.6994"	"0.3791"	"0.3571"	"1.5824"	"1.7161"	"0.859"	"0.8436"	"0.4357"	"0.4623"	"0.5375"	"0.3839"	"0.7092"	"0.6341"	"1.2138"	"1.3102"	"0.4572"	"0.4822"	"0.7014"	"0.9136"	"0.3658"	"0.3683"	"0.3468"	"0.4833"	"0.6141"	"0.576"	"1.5011"	"1.7789"	"0.7551"	"1.5011"	"1.5079"	"0.7067"	"0.5711"	"1.0431"	"1.7913"	"0.7119"	"0.988"	"0.4687"	"0.4372"	"1.0431"	"0.988"	"0.5711"	"0.4408"	"0.6343"	"0.663"	"0.7157"	"0.7352"	""	"0.3988"	"1.1778"	"0.313"	"0.6167"	"1.193"	"0.4692"	"0.3484"	"0.5942"	"0.3673"	"0.5506"	"0.6292"	"0.3673"	"0.4317"	"0.4241"
